Type,Air temperature [K],Process temperature [K],Rotational speed [rpm],Torque [Nm],Tool wear [min],Temp_Difference,Power,Tool_Wear_Percent
1,298.0,308.0,1615,29.5,15,10.0,47642.5,6.0
1,300.2,311.6,1606,31.0,199,11.400000000000034,49786.0,79.60000000000001
1,302.8,312.3,1386,57.8,172,9.5,80110.8,68.8
1,298.2,308.7,1428,54.9,45,10.5,78397.2,18.0
1,302.6,312.1,1473,37.3,184,9.5,54942.899999999994,73.6
2,300.0,311.4,1466,39.0,125,11.399999999999977,57174.0,50.0
1,299.9,311.3,1371,52.3,167,11.400000000000034,71703.3,66.8
1,300.5,311.5,1661,35.9,110,11.0,59629.899999999994,44.0
2,300.9,310.7,1485,41.0,181,9.800000000000011,60885.0,72.39999999999999
2,303.0,311.2,1460,43.9,103,8.199999999999989,64094.0,41.199999999999996
2,298.7,309.5,1487,33.6,183,10.800000000000011,49963.200000000004,73.2
2,304.3,313.6,1585,32.1,202,9.300000000000011,50878.5,80.80000000000001
2,300.7,309.6,1568,35.2,82,8.900000000000034,55193.600000000006,32.800000000000004
2,300.5,309.9,1466,53.2,172,9.399999999999977,77991.2,68.8
1,296.7,307.9,1420,50.1,138,11.199999999999989,71142.0,55.2
2,298.1,308.9,1459,50.3,115,10.799999999999955,73387.7,46.0
0,298.3,309.5,1521,37.1,84,11.199999999999989,56429.1,33.6
2,297.9,309.0,1530,40.9,42,11.100000000000023,62577.0,16.8
2,298.7,310.0,1519,38.1,198,11.300000000000011,57873.9,79.2
0,297.5,308.9,1419,50.7,7,11.399999999999977,71943.3,2.8000000000000003
1,297.6,309.0,1822,25.4,202,11.399999999999977,46278.799999999996,80.80000000000001
2,300.3,309.8,1617,40.8,158,9.5,65973.59999999999,63.2
2,297.9,307.6,1202,67.0,129,9.700000000000045,80534.0,51.6
2,298.4,309.2,1491,51.2,13,10.800000000000011,76339.2,5.2
2,298.9,308.6,1425,49.6,35,9.700000000000045,70680.0,14.000000000000002
2,295.5,306.1,1822,24.3,164,10.600000000000023,44274.6,65.60000000000001
1,298.6,309.7,1703,26.1,5,11.099999999999966,44448.3,2.0
1,302.4,311.9,1578,29.9,44,9.5,47182.2,17.599999999999998
1,298.3,309.0,1519,36.9,41,10.699999999999989,56051.1,16.400000000000002
1,302.1,311.2,1369,50.8,164,9.099999999999966,69545.2,65.60000000000001
1,302.5,311.9,1553,40.1,187,9.399999999999977,62275.3,74.8
1,298.0,308.7,1626,36.7,210,10.699999999999989,59674.200000000004,84.0
1,300.7,309.5,1578,35.4,34,8.800000000000011,55861.2,13.600000000000001
1,298.6,309.8,1469,42.8,205,11.199999999999989,62873.2,82.0
1,301.0,311.0,1399,58.0,190,10.0,81142.0,76.0
1,300.2,311.0,1255,71.8,149,10.800000000000011,90109.0,59.599999999999994
1,300.6,311.1,1471,40.7,26,10.5,59869.700000000004,10.4
1,296.2,307.1,1441,41.7,3,10.900000000000034,60089.700000000004,1.2
1,299.1,308.8,1502,46.7,197,9.699999999999989,70143.40000000001,78.8
1,300.4,311.2,1471,46.5,164,10.800000000000011,68401.5,65.60000000000001
0,298.5,308.4,1612,36.1,174,9.899999999999977,58193.200000000004,69.6
1,300.4,311.9,1868,21.3,92,11.5,39788.4,36.8
1,298.3,307.8,1906,22.1,104,9.5,42122.600000000006,41.6
1,299.4,310.8,1391,48.9,139,11.400000000000034,68019.9,55.60000000000001
2,298.1,308.2,1654,35.3,155,10.099999999999966,58386.2,62.0
1,297.3,308.5,1504,42.0,142,11.199999999999989,63168.0,56.8
1,302.0,310.1,1361,45.4,174,8.100000000000023,61789.4,69.6
2,297.6,308.8,1453,39.7,69,11.199999999999989,57684.100000000006,27.6
2,297.9,309.0,1525,38.5,113,11.100000000000023,58712.5,45.2
1,296.7,307.8,1453,46.0,33,11.100000000000023,66838.0,13.200000000000001
2,297.5,308.6,1327,52.1,24,11.100000000000023,69136.7,9.6
1,297.7,307.4,1764,29.0,139,9.699999999999989,51156.0,55.60000000000001
0,300.5,310.7,1654,28.6,161,10.199999999999989,47304.4,64.4
2,303.4,311.9,1419,50.9,39,8.5,72227.09999999999,15.6
1,303.9,313.2,1590,31.9,5,9.300000000000011,50721.0,2.0
1,301.7,311.2,1482,43.6,154,9.5,64615.200000000004,61.6
1,301.1,310.9,1282,67.9,10,9.799999999999955,87047.8,4.0
1,298.9,310.4,1546,37.7,159,11.5,58284.200000000004,63.6
1,297.9,307.4,1606,35.5,14,9.5,57013.0,5.6000000000000005
0,297.0,308.1,1410,47.6,79,11.100000000000023,67116.0,31.6
2,302.4,310.7,1521,40.4,152,8.300000000000011,61448.4,60.8
1,298.2,308.4,1478,42.9,183,10.199999999999989,63406.2,73.2
1,298.2,308.3,1304,49.8,45,10.100000000000023,64939.2,18.0
2,300.5,309.9,1483,49.3,124,9.399999999999977,73111.9,49.6
2,298.8,308.6,1707,28.1,103,9.800000000000011,47966.700000000004,41.199999999999996
2,300.5,312.0,1779,27.7,46,11.5,49278.299999999996,18.4
2,303.4,312.2,1561,38.2,45,8.800000000000011,59630.200000000004,18.0
2,303.7,312.7,1669,31.7,120,9.0,52907.299999999996,48.0
1,300.6,311.9,1413,41.3,43,11.299999999999955,58356.899999999994,17.2
1,296.9,307.8,1605,37.0,84,10.900000000000034,59385.0,33.6
2,301.9,309.7,1568,37.5,135,7.800000000000011,58800.0,54.0
1,301.8,310.6,1451,50.7,108,8.800000000000011,73565.7,43.2
1,302.4,310.1,1906,21.2,110,7.7000000000000455,40407.2,44.0
1,301.4,310.4,1334,43.2,133,9.0,57628.8,53.2
0,300.2,311.6,1547,37.7,217,11.400000000000034,58321.9,86.8
1,302.0,309.9,1388,51.4,183,7.899999999999977,71343.2,73.2
1,299.2,308.4,1350,51.3,96,9.199999999999989,69255.0,38.4
1,297.4,309.0,1570,37.9,154,11.600000000000023,59503.0,61.6
1,299.0,310.1,1375,48.9,59,11.100000000000023,67237.5,23.599999999999998
1,298.3,308.6,1570,34.8,175,10.300000000000011,54635.99999999999,70.0
0,298.4,308.2,1987,19.8,198,9.800000000000011,39342.6,79.2
0,295.6,306.1,1256,62.3,142,10.5,78248.8,56.8
2,296.7,307.4,1533,32.5,182,10.699999999999989,49822.5,72.8
1,302.3,310.9,1377,46.8,166,8.599999999999966,64443.6,66.4
2,301.3,311.0,1463,50.2,214,9.699999999999989,73442.6,85.6
2,298.3,308.5,1434,46.2,148,10.199999999999989,66250.8,59.199999999999996
1,300.3,310.4,1336,54.4,52,10.099999999999966,72678.4,20.8
2,298.1,308.1,1390,49.8,85,10.0,69222.0,34.0
1,302.4,311.1,1880,24.5,156,8.700000000000045,46060.0,62.4
1,300.3,309.8,1466,41.2,156,9.5,60399.200000000004,62.4
2,300.4,311.7,1478,39.9,185,11.300000000000011,58972.2,74.0
0,297.2,308.1,1770,27.2,140,10.900000000000034,48144.0,56.00000000000001
1,300.3,309.1,1699,30.3,178,8.800000000000011,51479.700000000004,71.2
1,298.0,308.6,1610,33.1,56,10.600000000000023,53291.0,22.400000000000002
1,300.2,311.5,1549,37.2,67,11.300000000000011,57622.8,26.8
1,301.0,310.9,1392,52.9,173,9.899999999999977,73636.8,69.19999999999999
1,303.9,313.0,1433,48.4,178,9.100000000000023,69357.2,71.2
2,302.2,311.6,1379,42.9,13,9.400000000000034,59159.1,5.2
1,302.4,311.0,1555,40.6,205,8.600000000000023,63133.0,82.0
2,302.3,311.7,1442,41.7,127,9.399999999999977,60131.4,50.8
1,302.1,311.4,1603,35.9,104,9.299999999999955,57547.7,41.6
2,297.0,307.8,1579,34.1,94,10.800000000000011,53843.9,37.6
1,302.3,311.3,1652,32.8,108,9.0,54185.6,43.2
0,300.4,309.8,1409,47.5,138,9.400000000000034,66927.5,55.2
2,298.8,309.8,1490,38.6,127,11.0,57514.0,50.8
2,301.8,311.1,1597,29.8,177,9.300000000000011,47590.6,70.8
1,300.9,312.1,1423,40.2,63,11.200000000000045,57204.600000000006,25.2
1,302.6,312.3,1534,34.3,31,9.699999999999989,52616.2,12.4
2,300.2,310.1,1474,44.0,198,9.900000000000034,64856.0,79.2
2,304.2,313.5,1739,28.1,80,9.300000000000011,48865.9,32.0
1,298.2,307.8,2029,19.9,96,9.600000000000023,40377.1,38.4
1,295.7,306.2,2270,14.6,149,10.5,33142.0,59.599999999999994
2,302.1,311.5,1383,53.6,108,9.399999999999977,74128.8,43.2
2,298.9,310.1,1469,53.2,189,11.200000000000045,78150.8,75.6
2,301.5,310.4,1350,54.9,153,8.899999999999977,74115.0,61.199999999999996
1,298.6,310.0,1522,40.3,32,11.399999999999977,61336.6,12.8
2,301.0,310.9,1765,24.2,179,9.899999999999977,42713.0,71.6
1,299.8,309.2,1504,38.7,212,9.399999999999977,58204.8,84.8
2,300.7,310.8,1724,30.0,76,10.100000000000023,51720.0,30.4
1,300.0,311.4,1484,37.0,183,11.399999999999977,54908.0,73.2
1,300.9,310.1,2090,17.8,133,9.200000000000045,37202.0,53.2
1,302.4,310.3,1900,24.4,113,7.900000000000034,46360.0,45.2
2,301.2,312.4,1505,39.6,102,11.199999999999989,59598.0,40.8
1,302.2,311.3,1378,55.5,35,9.100000000000023,76479.0,14.000000000000002
1,303.5,313.0,1547,40.3,73,9.5,62344.1,29.2
2,299.7,311.1,1649,32.7,185,11.400000000000034,53922.3,74.0
1,301.9,311.3,1501,40.8,59,9.400000000000034,61240.799999999996,23.599999999999998
1,297.6,308.6,1326,62.4,173,11.0,82742.4,69.19999999999999
1,302.9,310.8,1610,32.2,17,7.900000000000034,51842.00000000001,6.800000000000001
1,300.7,310.9,1637,37.2,115,10.199999999999989,60896.4,46.0
1,300.1,309.4,1694,27.4,44,9.299999999999955,46415.6,17.599999999999998
2,301.6,310.4,1452,45.7,164,8.799999999999955,66356.40000000001,65.60000000000001
1,297.4,308.3,1284,60.3,50,10.900000000000034,77425.2,20.0
0,298.2,308.3,1824,24.2,49,10.100000000000023,44140.799999999996,19.6
1,301.0,310.9,1570,34.0,192,9.899999999999977,53380.0,76.8
1,295.6,306.3,1911,20.9,74,10.699999999999989,39939.899999999994,29.599999999999998
1,303.8,313.1,1394,45.4,36,9.300000000000011,63287.6,14.399999999999999
1,299.5,309.4,1602,31.5,193,9.899999999999977,50463.0,77.2
1,300.1,311.3,1305,64.7,66,11.199999999999989,84433.5,26.400000000000002
0,300.9,310.7,1609,28.7,39,9.800000000000011,46178.299999999996,15.6
2,302.9,312.3,1426,44.7,157,9.400000000000034,63742.200000000004,62.8
2,298.0,307.7,1621,34.9,194,9.699999999999989,56572.899999999994,77.60000000000001
1,301.4,310.6,1578,33.0,181,9.200000000000045,52074.0,72.39999999999999
1,299.1,310.3,1411,42.1,74,11.199999999999989,59403.1,29.599999999999998
1,299.0,308.7,2248,16.8,204,9.699999999999989,37766.4,81.6
1,301.9,311.0,1541,38.9,193,9.100000000000023,59944.899999999994,77.2
1,298.5,309.9,1482,42.1,15,11.399999999999977,62392.200000000004,6.0
1,301.8,310.3,1341,50.5,64,8.5,67720.5,25.6
2,298.9,310.0,1323,52.9,106,11.100000000000023,69986.7,42.4
1,300.7,310.1,1542,35.5,191,9.400000000000034,54741.0,76.4
0,297.2,308.5,1482,39.3,187,11.300000000000011,58242.6,74.8
0,304.0,313.2,1612,31.7,206,9.199999999999989,51100.4,82.39999999999999
1,300.1,311.5,1454,52.4,90,11.399999999999977,76189.59999999999,36.0
1,298.4,308.1,1279,53.1,9,9.700000000000045,67914.90000000001,3.5999999999999996
1,297.3,308.5,1503,43.3,90,11.199999999999989,65079.899999999994,36.0
1,303.7,312.8,1832,23.6,35,9.100000000000023,43235.200000000004,14.000000000000002
1,300.1,310.1,1306,64.7,57,10.0,84498.2,22.8
1,299.4,310.4,1582,31.7,181,11.0,50149.4,72.39999999999999
2,298.6,309.6,1397,54.1,47,11.0,75577.7,18.8
1,299.2,308.5,1370,52.4,61,9.300000000000011,71788.0,24.4
2,301.5,310.6,1382,58.1,67,9.100000000000023,80294.2,26.8
1,299.0,308.7,1706,28.6,206,9.699999999999989,48791.600000000006,82.39999999999999
2,300.7,311.0,1418,49.3,106,10.300000000000011,69907.4,42.4
2,299.1,308.3,1506,38.0,125,9.199999999999989,57228.0,50.0
1,297.5,309.0,1470,43.5,191,11.5,63945.0,76.4
0,300.9,312.0,1720,27.9,202,11.100000000000023,47988.0,80.80000000000001
1,297.4,308.7,1468,46.6,94,11.300000000000011,68408.8,37.6
1,302.7,310.6,1686,26.3,9,7.900000000000034,44341.8,3.5999999999999996
1,304.0,313.0,1350,61.1,88,9.0,82485.0,35.199999999999996
2,301.9,309.6,1385,45.8,217,7.7000000000000455,63432.99999999999,86.8
0,299.1,308.3,1521,36.5,40,9.199999999999989,55516.5,16.0
1,297.3,308.3,1504,36.3,45,11.0,54595.2,18.0
2,298.8,309.9,1495,35.2,214,11.099999999999966,52624.00000000001,85.6
1,300.7,310.6,1540,52.7,85,9.900000000000034,81158.0,34.0
2,300.8,310.1,1686,26.9,128,9.300000000000011,45353.399999999994,51.2
1,297.5,308.8,1477,39.0,127,11.300000000000011,57603.0,50.8
2,297.2,308.6,1498,44.4,9,11.400000000000034,66511.2,3.5999999999999996
1,300.2,309.5,1356,51.1,133,9.300000000000011,69291.6,53.2
1,300.6,312.0,1430,42.7,130,11.399999999999977,61061.00000000001,52.0
1,296.3,307.1,1654,29.6,188,10.800000000000011,48958.4,75.2
1,297.3,308.0,1527,35.1,165,10.699999999999989,53597.700000000004,66.0
2,301.6,310.4,1455,39.0,118,8.799999999999955,56745.0,47.199999999999996
1,302.5,310.3,1405,57.4,152,7.800000000000011,80647.0,60.8
0,299.3,308.6,1520,41.4,67,9.300000000000011,62928.0,26.8
1,298.9,310.3,1496,36.3,161,11.400000000000034,54304.799999999996,64.4
1,297.5,308.6,1437,43.3,34,11.100000000000023,62222.1,13.600000000000001
1,300.4,311.7,1460,39.6,162,11.300000000000011,57816.0,64.8
1,302.1,311.5,1477,45.4,111,9.399999999999977,67055.8,44.4
2,299.2,308.3,1582,45.5,107,9.100000000000023,71981.0,42.8
1,302.1,310.7,1314,52.8,8,8.599999999999966,69379.2,3.2
1,300.9,310.5,1894,21.9,188,9.600000000000023,41478.6,75.2
1,299.7,310.6,1479,38.0,137,10.900000000000034,56202.0,54.800000000000004
1,298.0,308.6,1626,33.3,50,10.600000000000023,54145.799999999996,20.0
1,301.1,309.6,1502,48.9,160,8.5,73447.8,64.0
1,302.2,310.9,1531,37.5,60,8.699999999999989,57412.5,24.0
1,297.9,309.5,1390,47.9,127,11.600000000000023,66581.0,50.8
0,299.6,311.0,1714,30.2,128,11.399999999999977,51762.799999999996,51.2
1,297.8,307.5,1372,54.1,157,9.699999999999989,74225.2,62.8
1,299.1,308.5,1689,32.1,192,9.399999999999977,54216.9,76.8
2,298.5,309.5,1315,48.9,127,11.0,64303.5,50.8
1,298.3,310.1,1545,36.3,90,11.800000000000011,56083.49999999999,36.0
1,303.4,312.2,1580,35.8,90,8.800000000000011,56563.99999999999,36.0
0,301.5,310.5,1453,48.0,124,9.0,69744.0,49.6
1,300.4,311.2,1530,32.0,169,10.800000000000011,48960.0,67.60000000000001
2,298.1,308.6,1551,42.8,0,10.5,66382.79999999999,0.0
1,297.8,308.9,1506,33.5,26,11.099999999999966,50451.0,10.4
2,297.4,309.1,1582,35.9,180,11.700000000000045,56793.799999999996,72.0
1,300.2,309.6,1430,52.7,47,9.400000000000034,75361.0,18.8
0,300.3,311.6,1463,41.6,102,11.300000000000011,60860.8,40.8
1,302.0,310.8,1445,49.1,2,8.800000000000011,70949.5,0.8
2,302.6,312.2,1458,38.8,34,9.599999999999966,56570.399999999994,13.600000000000001
0,297.2,308.4,2182,17.3,119,11.199999999999989,37748.6,47.599999999999994
2,300.4,311.7,1508,45.4,164,11.300000000000011,68463.2,65.60000000000001
2,300.1,310.2,1429,42.0,206,10.099999999999966,60018.0,82.39999999999999
1,301.4,310.4,1388,45.3,188,9.0,62876.399999999994,75.2
2,302.6,312.4,1410,50.3,33,9.799999999999955,70923.0,13.200000000000001
1,300.7,309.5,1685,31.1,27,8.800000000000011,52403.5,10.8
1,301.6,310.8,1418,44.7,46,9.199999999999989,63384.600000000006,18.4
1,299.9,311.3,1802,24.4,151,11.400000000000034,43968.799999999996,60.4
0,298.5,309.4,1414,46.7,102,10.899999999999977,66033.8,40.8
0,300.8,310.8,1466,45.2,188,10.0,66263.2,75.2
1,301.2,310.8,1479,41.2,155,9.600000000000023,60934.8,62.0
1,303.6,313.0,1534,39.7,115,9.399999999999977,60899.8,46.0
1,302.3,311.7,1465,43.5,117,9.399999999999977,63727.5,46.800000000000004
2,300.2,311.6,1751,28.0,162,11.400000000000034,49028.0,64.8
1,303.4,311.8,2268,15.8,20,8.400000000000034,35834.4,8.0
1,302.2,311.7,1471,45.6,140,9.5,67077.6,56.00000000000001
2,300.5,309.3,1589,34.9,91,8.800000000000011,55456.1,36.4
1,297.4,308.8,1651,34.1,163,11.400000000000034,56299.100000000006,65.2
1,296.8,308.0,1497,41.7,231,11.199999999999989,62424.9,92.4
1,297.3,308.3,2188,17.0,32,11.0,37196.0,12.8
2,300.7,310.6,1505,35.6,105,9.900000000000034,53578.0,42.0
1,298.0,307.6,1694,29.1,169,9.600000000000023,49295.4,67.60000000000001
1,299.3,308.8,1550,45.8,170,9.5,70990.0,68.0
1,300.3,311.7,1707,33.6,158,11.399999999999977,57355.200000000004,63.2
1,301.2,310.3,1499,38.1,61,9.100000000000023,57111.9,24.4
1,302.2,310.4,1743,28.1,170,8.199999999999989,48978.3,68.0
1,301.2,310.6,1389,45.3,64,9.400000000000034,62921.7,25.6
1,298.8,308.7,1591,31.1,68,9.899999999999977,49480.100000000006,27.200000000000003
1,298.8,308.8,1555,40.6,61,10.0,63133.0,24.4
1,297.3,308.6,1511,35.7,120,11.300000000000011,53942.700000000004,48.0
2,304.2,313.4,1713,23.5,50,9.199999999999989,40255.5,20.0
1,302.4,310.9,1560,31.8,172,8.5,49608.0,68.8
0,297.0,307.7,1834,23.8,195,10.699999999999989,43649.200000000004,78.0
1,300.7,311.8,1564,36.8,11,11.100000000000023,57555.2,4.3999999999999995
1,298.1,308.7,1341,55.7,30,10.599999999999966,74693.7,12.0
1,301.3,311.1,1647,28.2,140,9.800000000000011,46445.4,56.00000000000001
1,297.4,308.5,1369,53.2,43,11.100000000000023,72830.8,17.2
1,300.8,309.6,1680,28.7,22,8.800000000000011,48216.0,8.799999999999999
1,300.6,310.0,1658,34.7,88,9.399999999999977,57532.600000000006,35.199999999999996
0,300.5,309.8,1324,72.8,159,9.300000000000011,96387.2,63.6
2,296.2,307.2,1389,48.6,7,11.0,67505.40000000001,2.8000000000000003
1,303.4,312.0,1521,35.9,215,8.600000000000023,54603.9,86.0
1,297.0,307.9,1493,46.1,173,10.899999999999977,68827.3,69.19999999999999
1,298.6,309.9,1393,45.5,38,11.299999999999955,63381.5,15.2
1,302.3,311.7,1400,41.6,136,9.399999999999977,58240.0,54.400000000000006
1,298.2,307.9,1847,23.6,69,9.699999999999989,43589.200000000004,27.6
2,301.6,310.7,1813,24.6,210,9.099999999999966,44599.8,84.0
1,300.5,309.3,1475,46.8,94,8.800000000000011,69030.0,37.6
2,300.7,309.7,1523,38.2,73,9.0,58178.600000000006,29.2
1,303.4,311.8,1366,50.9,200,8.400000000000034,69529.4,80.0
0,298.2,308.4,1678,34.6,81,10.199999999999989,58058.8,32.4
1,301.0,311.9,1454,41.9,33,10.899999999999977,60922.6,13.200000000000001
1,300.0,311.1,1425,47.8,179,11.100000000000023,68115.0,71.6
1,297.0,307.8,1583,37.2,189,10.800000000000011,58887.600000000006,75.6
1,299.2,310.5,1384,48.7,93,11.300000000000011,67400.8,37.2
2,302.9,312.3,1339,52.1,145,9.400000000000034,69761.90000000001,57.99999999999999
2,299.1,308.6,2329,14.6,95,9.5,34003.4,38.0
1,301.4,310.7,1280,61.0,106,9.300000000000011,78080.0,42.4
1,297.9,307.8,1451,38.2,80,9.900000000000034,55428.200000000004,32.0
1,300.7,309.8,1363,53.1,183,9.100000000000023,72375.3,73.2
0,298.9,310.1,1491,45.3,133,11.200000000000045,67542.3,53.2
0,302.2,311.6,1534,37.2,41,9.400000000000034,57064.8,16.400000000000002
1,303.6,311.8,1567,31.7,97,8.199999999999989,49673.9,38.800000000000004
1,301.5,310.5,1479,34.2,147,9.0,50581.8,58.8
1,303.7,312.3,1922,23.1,193,8.600000000000023,44398.200000000004,77.2
2,298.8,310.0,1486,38.5,55,11.199999999999989,57211.0,22.0
2,301.2,310.8,1734,31.3,64,9.600000000000023,54274.200000000004,25.6
1,300.7,311.1,1478,46.8,165,10.400000000000034,69170.4,66.0
2,297.8,307.4,1330,51.7,183,9.599999999999966,68761.0,73.2
1,301.4,310.7,1786,26.1,123,9.300000000000011,46614.600000000006,49.2
1,303.7,312.7,1426,45.5,192,9.0,64883.0,76.8
1,300.5,309.3,1417,51.5,231,8.800000000000011,72975.5,92.4
2,298.2,308.0,1577,35.9,151,9.800000000000011,56614.299999999996,60.4
1,298.2,309.2,1922,22.6,132,11.0,43437.200000000004,52.800000000000004
1,299.3,309.2,1541,37.2,118,9.899999999999977,57325.200000000004,47.199999999999996
1,300.5,311.6,1425,42.4,102,11.100000000000023,60420.0,40.8
1,299.0,310.2,1477,37.9,60,11.199999999999989,55978.299999999996,24.0
2,300.5,309.4,1877,23.8,31,8.899999999999977,44672.6,12.4
1,301.7,310.6,1471,43.8,80,8.900000000000034,64429.799999999996,32.0
1,299.4,309.1,1207,66.5,66,9.700000000000045,80265.5,26.400000000000002
1,302.4,310.1,1426,46.8,95,7.7000000000000455,66736.8,38.0
1,300.6,310.6,1497,38.2,83,10.0,57185.4,33.2
2,297.5,308.4,1350,52.2,157,10.899999999999977,70470.0,62.8
1,299.6,310.9,1448,46.3,196,11.299999999999955,67042.4,78.4
1,298.9,309.0,1601,32.3,202,10.100000000000023,51712.299999999996,80.80000000000001
1,296.3,307.2,1637,31.6,27,10.899999999999977,51729.200000000004,10.8
1,302.6,312.1,1519,38.1,178,9.5,57873.9,71.2
1,300.7,310.8,1653,31.6,111,10.100000000000023,52234.8,44.4
1,300.6,311.7,1556,34.9,76,11.099999999999966,54304.399999999994,30.4
2,298.8,309.1,1472,47.5,125,10.300000000000011,69920.0,50.0
1,297.4,308.3,1465,42.0,13,10.900000000000034,61530.0,5.2
0,296.1,306.8,1645,31.0,41,10.699999999999989,50995.0,16.400000000000002
2,301.1,310.7,1583,40.7,2,9.599999999999966,64428.100000000006,0.8
0,300.7,310.5,1567,38.7,129,9.800000000000011,60642.9,51.6
1,301.5,310.8,1413,44.6,166,9.300000000000011,63019.8,66.4
1,299.1,308.9,1617,32.3,223,9.799999999999955,52229.1,89.2
1,297.9,307.6,1612,30.7,134,9.700000000000045,49488.4,53.6
1,303.5,312.9,1544,36.9,87,9.399999999999977,56973.6,34.8
0,301.4,310.7,1329,52.0,160,9.300000000000011,69108.0,64.0
2,298.2,307.9,1462,38.8,124,9.699999999999989,56725.6,49.6
1,300.7,310.7,1425,45.3,48,10.0,64552.49999999999,19.2
2,300.1,309.0,1612,33.0,34,8.899999999999977,53196.0,13.600000000000001
1,301.7,310.3,1397,44.6,57,8.600000000000023,62306.200000000004,22.8
2,299.5,309.1,1420,49.5,5,9.600000000000023,70290.0,2.0
1,298.8,308.6,1584,34.4,42,9.800000000000011,54489.6,16.8
1,300.8,312.0,1374,50.2,154,11.199999999999989,68974.8,61.6
0,301.9,310.3,1653,32.4,100,8.400000000000034,53557.2,40.0
2,302.4,311.4,1508,41.2,60,9.0,62129.600000000006,24.0
1,298.3,310.1,1408,45.3,78,11.800000000000011,63782.399999999994,31.2
1,303.4,311.8,1438,58.9,22,8.400000000000034,84698.2,8.799999999999999
2,301.5,310.4,1276,55.6,158,8.899999999999977,70945.6,63.2
1,296.5,307.6,1607,33.5,104,11.100000000000023,53834.5,41.6
1,300.9,310.0,2595,13.7,207,9.100000000000023,35551.5,82.8
1,300.8,310.9,1398,38.2,50,10.099999999999966,53403.600000000006,20.0
1,301.8,310.8,1383,46.4,37,9.0,64171.2,14.799999999999999
2,300.5,311.6,1246,52.9,165,11.100000000000023,65913.4,66.0
2,297.3,308.8,1548,41.3,140,11.5,63932.399999999994,56.00000000000001
1,298.8,308.4,1369,53.0,138,9.599999999999966,72557.0,55.2
1,297.3,308.2,1553,33.5,2,10.899999999999977,52025.5,0.8
0,300.7,310.2,1877,24.8,64,9.5,46549.6,25.6
1,300.2,311.6,1500,39.0,174,11.400000000000034,58500.0,69.6
1,302.4,311.0,1486,40.4,192,8.600000000000023,60034.4,76.8
1,298.3,309.3,1401,51.9,14,11.0,72711.9,5.6000000000000005
1,298.1,308.0,1638,35.1,38,9.899999999999977,57493.8,15.2
1,299.8,311.1,1300,64.2,165,11.300000000000011,83460.0,66.0
1,296.8,308.2,1361,53.8,193,11.399999999999977,73221.8,77.2
1,297.6,308.3,1410,47.0,191,10.699999999999989,66270.0,76.4
1,299.0,310.4,1981,21.2,125,11.399999999999977,41997.2,50.0
1,297.7,308.1,1697,29.1,179,10.400000000000034,49382.700000000004,71.6
1,302.1,310.9,1666,30.7,203,8.799999999999955,51146.2,81.2
1,300.2,310.5,1416,46.7,90,10.300000000000011,66127.2,36.0
1,300.6,310.7,1438,48.5,78,10.099999999999966,69743.0,31.2
1,300.6,311.7,1432,39.2,2,11.099999999999966,56134.4,0.8
2,298.4,309.4,1429,41.8,203,11.0,59732.2,81.2
2,297.8,309.1,1424,45.5,2,11.300000000000011,64792.0,0.8
1,297.4,309.4,1466,45.5,53,12.0,66703.0,21.2
1,300.3,309.6,1597,31.8,73,9.300000000000011,50784.6,29.2
1,299.8,309.4,1510,42.5,146,9.599999999999966,64175.0,58.4
2,302.2,311.3,1521,40.6,52,9.100000000000023,61752.6,20.8
2,301.2,310.1,2280,15.7,11,8.900000000000034,35796.0,4.3999999999999995
2,299.4,309.0,1939,19.8,204,9.600000000000023,38392.200000000004,81.6
1,297.2,308.8,1451,43.1,68,11.600000000000023,62538.1,27.200000000000003
2,302.3,311.7,1368,53.6,165,9.399999999999977,73324.8,66.0
1,302.0,310.5,1567,36.1,124,8.5,56568.700000000004,49.6
2,297.5,308.8,1455,46.1,147,11.300000000000011,67075.5,58.8
1,301.3,311.0,1554,47.7,84,9.699999999999989,74125.8,33.6
1,300.5,311.1,1547,37.2,7,10.600000000000023,57548.4,2.8000000000000003
1,296.8,308.1,1289,62.0,199,11.300000000000011,79918.0,79.60000000000001
2,300.2,311.7,1397,50.2,71,11.5,70129.40000000001,28.4
2,299.2,308.4,1476,32.7,101,9.199999999999989,48265.200000000004,40.400000000000006
1,299.1,310.4,1594,33.3,147,11.299999999999955,53080.2,58.8
1,301.5,310.6,1522,36.6,202,9.100000000000023,55705.200000000004,80.80000000000001
1,303.8,312.6,1735,25.9,154,8.800000000000011,44936.5,61.6
2,301.1,310.2,1850,27.7,44,9.099999999999966,51245.0,17.599999999999998
1,296.9,307.9,1423,43.9,149,11.0,62469.7,59.599999999999994
2,304.1,313.5,1470,45.8,85,9.399999999999977,67326.0,34.0
2,297.5,308.4,1403,44.3,25,10.899999999999977,62152.899999999994,10.0
2,299.3,310.5,1462,40.5,24,11.199999999999989,59211.0,9.6
0,298.9,309.6,1600,33.5,175,10.700000000000045,53600.0,70.0
1,300.6,309.3,1601,40.2,69,8.699999999999989,64360.200000000004,27.6
2,297.6,308.5,1443,38.2,85,10.899999999999977,55122.600000000006,34.0
1,300.3,309.4,1705,29.4,190,9.099999999999966,50127.0,76.0
1,299.6,309.0,1378,51.9,162,9.399999999999977,71518.2,64.8
1,297.3,308.4,1430,45.7,15,11.099999999999966,65351.00000000001,6.0
